boule_1,boule_2,boule_3,boule_4,boule_5,numero_chance
18,21,24,35,36,3
5,14,29,38,48,8
8,26,29,32,38,7
7,13,30,31,47,7
5,16,31,37,41,5
1,15,32,37,39,1
23,25,29,46,49,1
11,27,28,39,41,3
2,12,14,38,47,5
24,39,41,43,48,3
13,19,24,32,43,2
4,16,17,18,30,1
5,19,26,30,33,2
3,10,31,34,47,5
3,4,15,17,41,4
19,22,27,31,49,3
20,21,23,36,38,2
8,15,28,30,48,7
14,32,33,36,49,3
1,12,30,32,34,4
17,35,38,41,46,2
17,18,30,34,39,9
16,21,25,26,31,1
7,18,27,35,48,5
4,8,15,18,46,2
10,17,19,29,41,7
2,3,30,31,37,8
6,15,23,27,43,4
9,17,22,25,49,3
2,12,16,20,26,2
30,37,38,40,43,1
2,12,21,29,33,6
5,22,23,24,25,10
2,21,44,47,48,10
4,10,16,18,22,4
7,39,41,45,48,9
13,16,23,26,46,1
3,19,23,29,33,3
5,6,7,21,36,6
3,23,34,43,47,5
8,10,28,29,47,5
17,28,30,38,45,6
19,28,30,35,48,5
3,9,30,38,42,4
3,19,24,33,45,10
8,13,18,45,48,7
5,14,25,31,42,4
10,22,23,25,46,3
16,17,40,48,49,5
10,12,14,16,18,3
5,12,16,24,35,4
9,10,11,21,22,9
14,16,40,46,47,4
19,20,34,37,40,6
18,24,31,40,49,2
8,9,22,26,30,8
15,20,29,41,47,4
4,14,17,32,44,9
4,16,22,25,36,7
8,17,21,29,35,3
9,14,17,27,33,6
5,20,26,34,39,3
3,32,36,44,47,8
22,23,25,38,42,3
2,9,20,41,49,9
1,11,12,24,37,9
7,11,12,29,41,5
1,4,14,21,24,4
7,10,11,30,42,4
9,25,28,32,36,4
10,18,30,33,39,8
25,27,29,40,45,10
12,13,16,24,34,4
12,26,34,42,49,6
4,5,23,28,31,5
2,13,24,32,39,6
1,7,16,35,36,3
5,17,30,35,36,3
5,13,23,30,31,6
9,29,30,31,40,2
6,15,19,39,43,1
10,21,33,43,47,3
16,17,41,42,49,10
2,3,30,35,44,10
5,9,33,42,45,1
16,20,40,41,49,9
16,28,37,42,47,2
2,14,20,30,49,2
26,32,38,42,43,6
7,10,15,22,25,7
33,34,35,39,44,10
8,9,11,17,41,1
2,14,24,33,34,1
10,13,18,28,36,8
11,13,14,38,46,1
8,13,20,23,27,3
9,14,16,26,33,5
22,28,29,36,47,1
7,10,34,40,45,6
24,26,33,45,46,2
7,17,26,28,45,6
5,11,22,23,24,3
3,8,29,33,37,2
8,9,16,37,45,2
16,27,32,36,48,8
19,23,29,31,45,4
2,3,29,32,49,2
3,17,24,28,33,6
10,24,26,36,40,10
6,7,34,35,45,8
10,25,45,47,48,8
4,5,6,16,35,1
4,29,31,39,49,1
12,24,34,38,43,1
11,17,19,47,49,1
1,9,17,22,43,5
2,11,36,45,49,7
3,5,12,32,40,4
5,10,25,39,47,7
1,10,22,26,30,9
4,6,29,31,45,8
5,10,35,41,44,7
5,17,27,32,44,4
3,11,19,45,46,4
3,21,23,31,32,4
5,10,29,41,47,4
10,18,36,39,47,7
4,28,30,37,44,4
2,25,32,37,47,3
2,10,17,30,32,5
6,28,29,31,41,10
14,17,18,24,49,7
10,21,22,30,42,8
4,17,18,21,26,1
2,24,30,31,36,5
4,25,33,38,44,4
4,15,23,34,39,10
7,12,20,31,40,6
13,21,22,32,42,2
15,20,23,30,49,9
1,2,27,36,40,7
2,8,21,26,27,6
4,5,18,31,45,7
9,31,36,42,47,1
1,10,30,40,44,2
6,15,19,21,38,8
5,18,19,23,49,8
6,10,31,34,43,5
14,15,22,31,48,2
3,13,20,37,41,3
6,22,25,27,30,5
1,9,19,32,44,3
5,18,29,30,43,2
5,9,16,26,33,8
18,19,24,25,45,1
3,34,36,41,45,4
6,20,27,28,37,3
13,36,39,48,49,7
1,22,25,36,45,4
3,18,26,27,41,6
25,32,37,42,46,10
9,19,21,35,49,10
19,25,29,30,38,10
8,10,12,17,18,4
2,3,4,20,28,6
2,5,26,32,44,10
20,25,38,42,44,10
18,20,25,34,49,2
9,13,19,24,36,3
1,2,4,13,39,1
8,19,28,39,42,9
16,21,25,31,44,8
7,9,15,18,19,6
5,12,25,34,38,10
7,30,37,40,45,1
2,18,38,41,45,8
8,13,25,29,36,2
4,11,27,37,39,3
4,25,26,32,38,4
24,33,36,41,45,7
14,32,39,45,49,9
7,10,11,18,49,3
8,30,33,42,43,4
9,12,13,14,18,3
12,31,34,42,43,10
2,6,12,16,24,4
12,13,29,42,49,9
1,32,36,41,46,9
8,9,34,38,47,3
19,37,38,39,42,5
3,5,8,31,42,8
3,6,14,35,36,2
3,15,23,39,45,9
3,5,15,20,35,8
5,8,13,30,48,5
11,16,19,20,32,6
13,27,38,39,40,10
25,31,33,37,40,9
3,10,13,18,47,1
12,16,36,46,47,9
2,13,21,34,38,1
8,14,22,27,30,7
4,5,15,34,45,9
3,4,16,28,38,4
7,12,14,31,41,5
4,11,19,21,41,7
21,29,35,46,47,1
15,14,3,45,12,3
16,32,26,9,20,7
27,6,31,21,40,7
21,10,24,32,16,7
23,24,13,15,39,1
18,2,10,3,11,2
47,28,7,26,30,4
41,13,28,6,4,1
14,28,33,9,8,4
44,11,3,15,17,9
32,5,13,38,46,5
28,30,23,39,25,7
42,23,16,32,28,5
40,3,14,20,34,6
48,42,13,49,6,3
1,37,41,30,23,5
39,44,12,29,2,6
49,26,11,43,42,8
14,8,24,28,5,9
29,48,32,27,44,8
34,46,11,30,36,5
29,41,17,27,19,2
24,39,48,3,10,3
45,35,44,5,19,8
29,36,23,44,38,9
19,28,36,40,6,2
11,1,4,33,44,7
1,22,40,27,28,2
31,3,24,41,7,2
42,20,6,29,41,9
14,34,38,24,26,8
3,31,8,16,42,7
17,20,9,19,29,2
8,11,2,25,21,4
13,31,29,1,21,10
31,7,37,39,13,6
46,6,22,44,13,8
22,17,38,2,13,7
41,16,6,28,36,8
8,27,26,46,14,2
43,5,26,36,6,3
30,22,44,40,24,7
28,24,8,43,19,6
38,5,9,25,6,6
9,21,24,30,28,9
40,21,7,34,3,1
48,16,22,41,4,10
21,4,10,38,19,1
15,7,31,35,20,6
13,7,37,49,3,5
37,33,36,34,20,2
35,37,45,48,27,5
17,12,3,8,6,9
46,5,29,7,19,4
9,12,32,39,13,10
8,35,46,6,11,6
36,12,35,23,26,8
26,8,23,15,6,5
17,15,16,39,35,2
31,49,43,21,1,6
4,44,10,29,8,1
21,39,43,9,41,3
9,17,30,20,11,8
27,1,34,44,40,2
7,34,19,15,11,7
10,2,44,46,45,5
1,25,48,21,35,3
42,18,47,41,20,2
35,33,43,6,37,6
5,26,22,31,33,7
49,26,5,7,1,8
30,16,7,13,43,6
2,10,4,49,12,9
1,33,49,24,17,9
47,39,4,42,45,1
5,25,10,6,1,9
9,40,28,27,7,6
32,30,4,2,19,9
2,44,42,47,23,5
27,31,48,30,17,8
15,32,11,49,6,4
28,30,10,39,24,5
18,8,41,17,3,3
48,43,31,9,15,9
4,2,26,22,40,8
27,12,26,6,5,6
43,18,28,40,14,1
42,30,11,33,37,3
6,28,3,12,24,2
13,29,30,20,36,5
3,20,15,31,19,7
10,18,20,19,28,5
3,4,22,48,49,1
25,17,46,28,23,5
16,18,45,38,31,8
36,31,37,28,17,10
27,47,24,39,46,9
24,21,7,31,27,3
47,4,2,14,34,2
25,3,45,47,49,7
20,22,32,34,31,7
21,8,28,42,47,4
40,11,18,8,47,2
49,35,25,27,42,9
5,30,16,47,15,7
35,40,17,6,47,4
4,10,30,38,24,10
21,5,6,24,42,8
16,3,5,39,11,9
7,42,31,8,24,6
46,13,47,18,34,5
4,1,24,21,42,3
22,7,28,6,3,7
17,24,30,43,1,7
21,10,38,41,25,8
48,47,6,45,1,6
10,34,25,38,29,3
35,11,18,46,30,2
28,6,11,46,25,2
8,16,42,30,40,2
28,3,6,33,13,4
47,5,34,28,39,8
35,39,18,43,31,7
4,6,35,47,7,1
9,15,39,49,48,7
27,2,48,43,3,8
10,19,28,38,37,7
41,19,32,42,47,1
19,26,42,18,20,1
46,23,21,32,20,10
12,32,36,6,29,8
14,34,37,15,45,2
21,16,9,20,15,1
26,13,25,12,18,4
6,39,24,13,43,8
7,34,6,3,36,7
1,4,35,39,21,5
2,16,19,12,6,3
17,42,25,5,15,7
49,47,20,3,30,7
18,34,27,14,44,6
38,25,40,41,39,7
48,20,39,8,47,1
13,10,22,24,16,7
48,6,8,17,24,10
24,2,21,36,31,6
45,7,29,19,38,8
18,1,33,9,39,2
2,22,46,21,49,9
27,2,36,43,6,5
26,46,5,12,36,4
9,17,15,12,26,8
40,41,28,8,42,2
28,45,2,15,23,7
37,1,22,26,31,5
47,49,20,34,32,1
24,46,3,22,32,5
36,48,30,20,40,8
12,10,37,25,49,2
5,29,4,10,13,1
18,48,36,16,45,10
29,28,25,7,35,2
12,8,43,46,49,8
25,8,18,27,37,8
20,13,27,26,17,4
2,38,46,27,43,3
7,45,30,8,20,10
14,45,37,22,25,3
42,22,9,33,45,3
35,23,16,42,8,2
2,19,13,23,36,3
28,15,3,46,36,2
36,40,5,30,43,1
44,15,37,34,40,8
24,13,23,6,34,4
36,3,33,34,42,2
42,4,23,15,12,1
34,2,13,15,31,8
27,26,8,9,15,4
47,2,14,33,30,5
25,9,34,31,32,5
32,29,37,20,5,9
19,41,42,43,45,2
29,8,37,22,39,10
11,7,15,23,19,4
12,15,21,29,48,6
12,28,32,45,38,9
6,48,11,49,46,2
49,19,22,40,45,2
36,1,45,9,14,3
4,41,16,13,6,10
36,12,7,11,38,6
16,41,26,28,13,8
9,32,7,47,1,1
39,28,26,5,29,10
2,3,29,30,31,10
30,3,15,41,16,9
1,15,12,30,44,1
4,19,22,18,7,10
25,48,16,12,49,10
40,34,36,28,15,10
29,1,43,37,27,7
41,44,38,8,10,2
25,19,12,11,28,4
21,30,6,31,10,1
19,8,46,26,9,9
1,9,19,13,11,8
18,45,41,4,17,2
30,15,34,46,41,2
12,21,48,29,20,3
22,7,16,30,2,1
46,39,23,45,13,7
17,22,35,25,19,6
2,49,1,36,14,9
18,10,40,34,31,10
20,13,46,40,25,7
32,46,27,1,16,1
30,34,8,1,13,4
31,38,22,32,34,2
22,12,30,35,33,10
10,3,40,26,22,4
47,14,28,3,25,10
22,13,46,49,3,1
6,7,37,25,47,9
13,14,27,4,20,1
10,16,15,6,24,8
9,16,32,30,23,6
5,12,42,9,26,2
26,21,40,27,31,1
6,40,17,15,3,1
33,48,25,23,41,1
44,14,30,25,17,3
4,13,27,46,21,4
26,28,40,37,6,8
48,19,37,16,29,1
5,30,40,35,17,6
42,43,32,40,15,4
11,27,30,48,49,8
31,44,40,13,28,6
15,7,3,42,4,4
47,30,15,33,4,10
27,13,2,11,36,10
10,33,47,1,7,10
46,31,20,45,39,10
9,35,23,37,28,7
15,14,21,34,45,5
46,29,25,8,34,7
3,17,4,36,22,6
27,8,32,11,4,10
24,41,19,35,27,9
44,13,3,27,49,9
9,20,44,1,39,9
6,31,45,14,3,9
11,1,15,48,47,7
40,42,2,7,10,2
18,12,32,9,23,9
1,47,22,33,4,1
1,49,29,18,37,4
17,49,18,28,11,7
12,1,31,45,17,7
37,33,42,36,31,3
35,5,39,19,11,9
47,6,20,9,41,9
7,32,42,45,12,6
31,18,34,27,26,8
14,3,10,44,8,2
6,19,48,32,10,5
22,8,19,7,15,5
42,23,2,8,35,7
24,7,18,15,9,10
49,34,36,12,42,10
14,21,48,16,26,3
30,40,3,21,2,4
20,35,27,19,12,4
39,42,38,29,49,3
28,43,29,38,44,3
14,9,16,12,33,2
12,26,28,19,21,2
28,16,11,32,49,10
41,28,3,4,23,8
3,46,25,10,13,5
46,44,37,2,39,4
43,9,40,28,13,3
12,38,28,24,36,3
25,24,31,34,9,9
20,11,36,17,28,10
43,33,42,22,37,4
25,18,3,8,37,6
8,2,11,47,40,7
12,9,48,7,29,4
43,6,25,34,9,5
45,12,44,15,9,1
43,47,16,39,4,5
47,25,42,2,30,10
17,23,13,20,45,8
15,41,33,44,5,10
40,48,36,22,3,5
3,18,24,11,14,10
41,23,25,1,49,2
12,26,48,13,35,1
43,41,5,46,34,5
3,18,42,13,43,9
32,17,15,19,29,10
18,26,10,30,15,7
45,24,15,10,49,2
19,35,48,3,42,10
31,33,16,29,39,2
49,15,39,31,46,4
44,48,17,12,35,8
34,1,32,14,11,9
1,11,23,41,34,9
3,34,29,7,11,4
24,38,33,12,20,2
38,19,10,26,7,8
7,31,8,48,32,5
37,20,15,5,17,2
47,45,35,42,19,2
6,34,14,33,18,6
10,7,46,16,35,5
24,38,41,18,5,7
42,40,35,25,12,6
18,39,45,14,21,8
5,37,14,6,2,1
34,19,3,1,43,3
37,35,3,24,31,4
35,43,41,22,16,7
12,24,1,13,5,9
20,24,5,44,28,6
20,8,33,27,35,2
43,9,15,47,45,9
44,24,16,21,34,7
32,13,5,21,6,3
42,26,31,13,16,2
12,48,38,35,9,5
35,27,8,30,34,5
15,44,5,30,45,5
32,26,44,18,21,10
28,6,10,35,32,9
41,4,45,18,24,6
7,35,48,39,11,8
5,31,10,19,28,4
22,36,40,13,14,9
8,16,17,3,47,9
38,1,48,30,20,3
8,43,7,21,34,6
3,5,49,38,25,10
49,39,45,41,1,5
35,39,16,11,23,8
29,1,3,35,8,8
6,23,32,49,48,4
12,41,47,46,6,6
11,22,15,12,21,7
43,35,6,31,36,4
46,27,42,23,8,3
15,37,4,20,6,10
46,25,47,2,35,10
6,43,29,13,27,2
2,12,38,15,10,5
36,45,9,24,17,7
32,19,34,26,27,9
44,18,28,49,30,5
24,46,9,2,13,6
5,7,28,23,2,5
46,36,45,15,19,4
45,33,47,15,23,7
40,24,19,1,28,8
1,8,48,38,3,1
28,23,34,44,14,5
14,44,34,25,4,7
15,2,1,41,30,9
24,8,9,40,31,7
40,6,38,23,32,10
45,7,38,4,26,2
34,25,45,44,4,7
33,28,48,44,26,4
45,30,4,2,23,5
43,28,33,37,29,1
12,2,25,35,7,10
35,16,38,46,25,8
38,49,20,16,40,2
31,16,27,24,46,1
17,44,7,40,39,3
19,40,32,13,46,7
17,20,48,16,34,7
32,23,39,35,14,7
20,40,31,7,23,1
8,7,35,36,26,2
12,39,26,14,29,10
29,49,35,18,39,1
25,6,32,7,4,10
3,12,22,9,37,10
5,7,44,15,33,1
12,17,1,20,3,3
40,10,38,26,45,1
4,49,20,7,21,10
25,3,8,49,24,5
20,35,30,3,29,9
5,1,35,27,40,4
35,24,44,38,32,6
9,39,10,15,45,7
5,10,28,34,22,4
32,39,22,11,34,3
39,42,36,27,22,10
39,46,2,9,44,9
21,38,17,1,46,2
16,5,14,29,17,3
34,4,48,42,22,3
17,38,37,11,39,2
15,35,11,28,9,2
41,22,3,37,40,2
37,28,23,38,6,1
45,10,5,40,32,5
38,1,4,23,30,6
14,21,24,2,38,6
13,43,31,47,46,10
26,42,13,7,24,2
15,47,39,25,41,9
29,21,31,47,17,4
18,29,49,37,5,8
3,33,4,49,14,3
30,48,7,31,46,3
10,5,49,47,1,1
37,24,34,9,8,2
43,16,10,25,44,4
18,20,4,12,26,8
32,20,22,46,34,9
16,47,43,24,26,9
34,31,36,24,37,1
2,47,40,31,49,9
17,40,10,27,23,2
27,47,23,48,14,3
31,1,12,32,28,9
11,37,44,13,21,6
44,45,46,43,31,10
7,28,4,11,10,8
38,33,39,27,26,5
20,5,22,23,18,5
9,23,17,42,6,5
33,4,35,22,2,7
22,12,38,13,14,2
20,27,21,26,7,7
37,30,24,27,45,10
30,26,48,41,47,6
1,12,41,7,21,4
14,23,22,45,36,7
21,33,4,14,32,1
4,44,29,32,24,4
23,45,7,2,46,10
6,33,7,9,15,2
23,37,38,7,15,3
37,30,17,12,41,2
46,20,13,47,8,7
6,27,5,21,47,9
8,13,1,43,31,10
31,36,42,23,8,7
44,20,11,9,42,4
45,46,4,13,33,7
10,39,33,9,47,5
4,41,30,27,21,6
36,29,44,46,35,8
32,3,22,18,17,10
3,15,13,29,40,10
6,20,48,12,38,7
23,22,33,36,10,6
15,6,11,28,24,10
12,34,16,26,10,7
16,48,21,5,26,10
40,10,37,34,12,5
20,2,29,39,18,10
10,26,46,35,5,9
44,38,33,49,41,7
1,49,12,39,24,3
11,5,32,49,9,6
16,47,33,21,5,5
32,8,21,41,25,4
8,27,29,15,41,4
37,26,36,14,1,3
46,4,3,43,22,6
43,9,21,36,27,2
29,39,28,22,30,3
33,15,6,12,14,8
2,6,10,32,17,5
32,24,49,39,40,1
22,24,41,21,32,2
26,13,29,15,20,5
45,22,28,40,37,10
44,48,31,46,21,1
37,15,18,31,46,3
48,31,24,11,38,9
11,37,49,28,40,4
25,32,31,36,10,8
42,29,25,46,8,9
14,16,33,38,45,10
15,38,7,4,40,2
26,3,39,17,30,8
44,27,41,8,43,6
4,27,5,15,22,9
19,10,30,13,47,8
23,20,1,26,44,4
14,43,34,41,35,9
22,42,43,17,25,10
17,45,30,32,6,4
33,36,34,38,22,5
30,36,14,6,39,5
21,18,33,49,48,7
32,20,6,12,14,8
6,25,48,21,37,10
41,20,46,11,24,1
22,23,12,47,25,1
10,46,2,31,38,8
34,47,11,37,38,8
23,38,36,18,19,1
16,45,34,42,26,9
28,26,1,30,16,4
29,16,36,7,15,6
23,18,34,5,44,5
26,18,3,49,46,6
30,26,35,44,31,4
25,28,46,12,27,4
14,34,39,24,47,8
19,12,8,41,16,5
44,9,18,17,42,8
37,40,36,4,43,6
34,7,8,41,42,8
39,13,12,31,26,6
31,12,9,40,41,2
44,32,11,48,7,3
19,2,18,22,4,3
7,39,31,38,42,10
47,27,26,43,1,6
46,11,43,12,30,9
41,16,44,27,15,9
31,48,43,37,3,10
6,36,35,10,48,9
26,35,16,22,42,4
41,27,36,35,9,6
23,15,46,5,37,10
21,20,19,43,49,10
26,7,1,9,28,3
22,29,19,15,34,3
44,34,20,8,41,2
44,15,5,19,7,1
6,46,35,20,8,9
6,39,28,13,33,10
12,26,31,40,37,3
20,35,49,18,16,1
5,40,13,14,9,1
12,10,45,15,31,5
39,38,21,2,9,2
48,22,4,30,27,7
4,30,24,21,40,4
5,3,49,33,15,8
7,34,27,12,15,4
3,31,36,13,40,9
41,49,30,45,35,3
49,27,32,24,17,7
32,34,18,44,3,9
48,43,46,11,8,9
19,9,29,26,3,8
13,22,31,11,21,6
46,8,2,19,29,2
4,7,12,24,25,2
22,27,13,10,49,4
4,28,42,49,35,7
43,13,21,5,6,4
37,43,45,28,38,3
7,24,36,6,47,10
21,36,22,20,44,10
24,44,46,42,7,2
22,6,46,7,17,3
1,28,3,29,8,6
42,5,34,21,37,10
24,40,5,31,22,9
27,25,6,37,32,9
3,28,15,4,2,5
31,8,47,11,17,6
36,18,38,31,29,10
38,31,8,37,30,1
43,3,38,42,46,1
37,18,8,44,46,2
43,36,3,32,45,2
33,48,13,2,19,2
8,44,6,48,31,9
4,28,48,8,15,1
37,24,38,13,45,6
1,16,6,3,40,1
44,21,25,18,47,10
3,44,46,27,14,6
22,23,35,46,3,9
40,12,47,21,19,7
9,2,5,29,10,1
16,33,41,2,24,8
6,28,34,7,11,8
45,16,6,37,25,9
33,34,25,3,26,6
25,3,13,32,47,9
32,4,36,44,9,3
20,1,22,5,42,6
11,44,47,29,7,9
9,2,45,19,7,10
28,17,41,3,23,3
23,42,3,17,47,4
7,31,29,24,47,3
19,11,22,36,9,1
44,12,13,17,27,10
41,35,40,6,24,6
36,48,46,41,8,6
44,8,11,48,37,6
27,25,5,34,38,7
4,15,10,49,12,6
2,34,41,32,8,6
41,12,26,42,36,7
45,31,6,49,39,4
49,17,36,44,27,1
38,37,17,34,30,1
27,25,20,23,47,6
43,14,26,7,11,7
9,35,15,8,4,8
35,19,9,16,43,4
32,22,2,12,15,8
17,1,38,2,45,2
2,27,24,35,22,5
41,28,18,13,38,1
16,11,18,8,10,5
22,38,28,37,9,10
15,6,34,39,24,4
42,18,14,4,27,3
45,18,46,3,30,3
29,38,33,15,41,2
47,22,19,4,10,8
26,42,33,20,34,9
24,8,38,19,40,10
11,22,3,13,30,8
38,8,41,49,19,7
4,14,21,47,8,9
4,29,42,43,11,10
47,18,41,10,19,2
3,37,26,15,24,7
21,36,19,39,49,5
34,31,35,41,29,8
13,22,17,6,12,7
13,17,31,28,9,10
44,13,29,15,33,4
19,10,9,29,5,8
44,42,15,9,47,10
17,31,26,37,21,10
1,18,45,17,21,9
17,5,33,9,37,4
27,44,25,23,6,6
13,31,49,7,3,5
1,19,13,24,48,5
21,11,22,40,32,9
5,43,10,48,25,10
44,20,14,22,36,2
32,42,30,17,41,5
33,46,8,17,1,5
49,12,27,11,7,1
41,21,32,47,11,9
31,39,30,49,19,8
5,27,7,24,41,10
36,20,13,31,38,1
41,34,42,22,1,5
31,3,40,35,2,7
5,3,39,31,38,9
10,31,36,37,44,5
30,29,49,23,10,5
21,6,41,17,16,9
47,48,13,34,2,6
14,31,9,45,23,6
47,17,48,39,24,7
45,27,48,4,38,4
34,20,14,35,9,1
23,14,40,46,27,1
28,9,26,29,18,3
9,25,2,47,35,10
1,26,14,31,10,4
15,20,12,6,1,1
49,17,44,5,46,4
28,11,14,43,41,8
7,47,16,33,42,7
40,26,17,24,43,9
15,17,10,37,16,9
26,18,41,38,5,10
45,5,48,42,30,9
29,10,16,14,9,1
42,43,38,33,31,3
22,35,9,28,13,5
25,43,30,2,19,9
33,7,8,12,22,5
8,25,4,12,45,2
35,48,33,21,15,1
7,35,48,28,25,1
28,23,24,9,20,4
19,42,32,26,39,6
18,7,21,42,11,3
48,26,31,47,42,8
